"","symbol","HR","lower95","upper95","pValue"
"ENSG00000184661","CDCA2","1.63498806346757","0.648896561598777","4.11958719752673","0.304"
"ENSG00000006831","ADIPOR2","0.568065071322104","0.222455903076186","1.45061524910701","0.213"
"ENSG00000135451","TROAP","2.47810691685157","0.978482565824441","6.27605856847675","0.0596"
"ENSG00000171848","RRM2","1.29902445457869","0.513497014241494","3.2862207311684","0.576"
"ENSG00000075239","ACAT1","1.33358450746074","0.529115067682705","3.36117367877676","0.54"
"ENSG00000226124","FTCDNL1","1.78935389387861","0.708907757550517","4.5165077168878","0.221"
"ENSG00000164932","CTHRC1","0.848278721191683","0.336593775624538","2.1378196536506","0.724"
"ENSG00000264575","LINC00526","0.690028248615551","0.269576612314421","1.76624737509536","0.409"
"ENSG00000138942","RNF185","0.748089683978073","0.294076945245137","1.90303314939534","0.514"
"ENSG00000021300","PLEKHB1","1.65023896584265","0.654887147333101","4.15840905639313","0.287"
"ENSG00000141179","PCTP","1.63270698234732","0.647999382998202","4.11378800682141","0.302"
"ENSG00000092853","CLSPN","1.13624983561576","0.445582872567824","2.89747153317777","0.784"
"ENSG00000174939","ASPHD1","0.933319342491025","0.366843919348406","2.37453845934019","0.881"
"ENSG00000181019","NQO1","1.41593791819433","0.56105365116793","3.57341973268864","0.459"
"ENSG00000130988","RGN","0.784502915060049","0.311397493966895","1.97639619991015","0.606"
"ENSG00000113161","HMGCR","0.579503258523217","0.229803230214678","1.46135468298382","0.251"
"ENSG00000006118","TMEM132A","0.710775254189452","0.271881714304645","1.85816638408421","0.453"
"ENSG00000113790","EHHADH","0.975370689648274","0.38714909851873","2.45731679568647","0.956"
"ENSG00000198554","WDHD1","0.896826388122107","0.351484056127239","2.28829034037602","0.812"
"ENSG00000261068","AL512274.1","0.64426250689263","0.254360219219721","1.63183605935262","0.346"
"ENSG00000112796","ENPP5","1.15974189566046","0.459196957853293","2.92902912693036","0.751"
"ENSG00000142655","PEX14","0.738994823286604","0.293133543865236","1.86301895594544","0.508"
"ENSG00000285219","HULC","3.29082020554236","1.26923123015294","8.53232836376157","0.011"
"ENSG00000287778","AC006230.1","0.877648743788889","0.348040666467093","2.21315320790838","0.783"
"ENSG00000010292","NCAPD2","1.15462172778754","0.457997861757745","2.91082436315878","0.759"
"ENSG00000261572","AC097639.1","1.36638946518377","0.541169588232673","3.44997245071073","0.496"
"ENSG00000044459","CNTLN","0.694342398259727","0.274983516450051","1.75323732944059","0.425"
"ENSG00000170011","MYRIP","0.654710222756124","0.259865332759074","1.64949080060162","0.376"
"ENSG00000101474","APMAP","1.83274241001989","0.72552720829266","4.62966061519582","0.181"
"ENSG00000113300","CNOT6","0.98384359928448","0.388613336273256","2.49077460165294","0.971"
"ENSG00000144908","ALDH1L1","1.53241199821287","0.605385868926453","3.87899132239582","0.341"
"ENSG00000124713","GNMT","0.845670476835952","0.332566361465525","2.15042360941271","0.728"
"ENSG00000130675","MNX1","0.706870360096043","0.276712100307978","1.80572409166851","0.457"
"ENSG00000149547","EI24","0.52507516077784","0.204190428591225","1.3502294224467","0.152"
"ENSG00000248527","MTATP6P1","1.28536790773814","0.510185544422801","3.23837214970941","0.595"
"ENSG00000100225","FBXO7","1.33076845516488","0.526569250449331","3.36317527039559","0.539"
"ENSG00000160991","ORAI2","0.702654239168198","0.278604918174627","1.77212585856643","0.45"
"ENSG00000112425","EPM2A","2.31281403897128","0.878495458944044","6.08894300409053","0.0543"
"ENSG00000138160","KIF11","0.713167533245868","0.279374095191511","1.820526452631","0.457"
"ENSG00000136943","CTSV","0.63625354742834","0.246644623802742","1.64130306338608","0.315"
"ENSG00000117592","PRDX6","1.31137180007491","0.520415654556016","3.30446631068169","0.566"
"ENSG00000165672","PRDX3","1.31572949112104","0.522125153929674","3.31557305901948","0.56"
"ENSG00000109736","MFSD10","0.856515419963932","0.339055749666795","2.16371102792668","0.735"
"ENSG00000178999","AURKB","2.48261195642188","0.980172693048051","6.28803696520314","0.0584"
"ENSG00000106733","NMRK1","1.4711578902573","0.582193283944324","3.71750344387911","0.411"
"ENSG00000108515","ENO3","0.960869357163655","0.378379972925914","2.44006022410935","0.931"
"ENSG00000100197","CYP2D6","0.732007815083222","0.290308465311392","1.84574514824485","0.495"
"ENSG00000169764","UGP2","1.17587927796559","0.465355835137088","2.97125763114491","0.729"
"ENSG00000147576","ADHFE1","0.922912794243962","0.362472921470749","2.34988043333862","0.864"
"ENSG00000072195","SPEG","1.66470866859804","0.660558350949248","4.19532195350049","0.27"
"ENSG00000099194","SCD","0.995832999207594","0.393114402868949","2.52263299200815","0.993"
"ENSG00000138109","CYP2C9","1.42797132780754","0.558568595609617","3.65058495781519","0.445"
"ENSG00000183723","CMTM4","1.03788274575407","0.410347950932178","2.62509071018134","0.935"
"ENSG00000109089","CDR2L","0.653722313242235","0.259475719237861","1.64698594568313","0.373"
"ENSG00000261801","LOXL1-AS1","3.59082661559668","1.4082965286702","9.15576763897357","0.0086"
"ENSG00000178773","CPNE7","0.61643492041162","0.242780774635669","1.56516516463512","0.3"
"ENSG00000138792","ENPEP","0.704492805444574","0.279316981305497","1.77687053112012","0.462"
"ENSG00000112559","MDFI","0.710522954148704","0.28164901972612","1.79245384508392","0.474"
"ENSG00000228109","MELTF-AS1","0.566395554569393","0.221750016320344","1.44669177283185","0.22"
"ENSG00000085840","ORC1","0.721874998315772","0.283049613828588","1.8410324117558","0.474"
"ENSG00000049283","EPN3","1.28735342030132","0.510968406211649","3.24340763267275","0.592"
"ENSG00000168904","LRRC28","2.18765810303812","0.867592310839787","5.51624065358056","0.106"
"ENSG00000155265","GOLGA7B","0.386670809242727","0.152322067816674","0.981566997241475","0.0465"
"ENSG00000163814","CDCP1","0.648888118998215","0.255562459662655","1.64756510613038","0.381"
"ENSG00000176641","RNF152","0.693502221033811","0.274639841824102","1.75118557957392","0.424"
"ENSG00000172893","DHCR7","1.05353970982589","0.416795778593862","2.6630450143344","0.91"
"ENSG00000182326","C1S","0.836060266190891","0.331802631795525","2.10666432909412","0.704"
"ENSG00000136868","SLC31A1","1.16079131033584","0.453443981497612","2.97156103318637","0.751"
"ENSG00000129354","AP1M2","0.62722041441162","0.247502538489653","1.58950065989376","0.344"
"ENSG00000103494","RPGRIP1L","1.2116928596536","0.478940440868206","3.06551600335527","0.671"
"ENSG00000158402","CDC25C","2.03955661353859","0.809573473438356","5.13825034578008","0.132"
"ENSG00000130702","LAMA5","0.680785879055668","0.265651226355582","1.74465376832566","0.404"
"ENSG00000115107","STEAP3","0.988613706833898","0.390406050087737","2.50343728310618","0.981"
"ENSG00000167608","TMC4","1.05252208320897","0.410097186050738","2.70131757379455","0.912"
"ENSG00000125733","TRIP10","0.821302057662418","0.325992805971668","2.06917777804933","0.677"
"ENSG00000104870","FCGRT","0.419909485574893","0.163378660915247","1.0792350426182","0.0536"
"ENSG00000205629","LCMT1","0.494446006254776","0.194832216825888","1.25480712114349","0.12"
"ENSG00000164611","PTTG1","0.873875614847898","0.341778869089054","2.23436455349384","0.77"
"ENSG00000198736","MSRB1","2.46017693350718","0.971746927371638","6.22844320231751","0.0502"
"ENSG00000087076","HSD17B14","0.571224748453622","0.223791061072406","1.45804623152635","0.218"
"ENSG00000165841","CYP2C19","0.373200574641667","0.146925687118892","0.947953156755815","0.0694"
"ENSG00000197905","TEAD4","0.78224820406905","0.3083581704028","1.98442042891203","0.599"
"ENSG00000143228","NUF2","1.13778717874946","0.451187393705157","2.86922835652769","0.778"
"ENSG00000150556","LYPD6B","1.31882500175323","0.523338661900664","3.32346817055824","0.555"
"ENSG00000176171","BNIP3","1.70844126173815","0.670553728946132","4.35277803822921","0.25"
"ENSG00000279108","AC008537.3","1.6848221363944","0.666527197104318","4.25882941253829","0.278"
"ENSG00000184949","FAM227A","0.929664643258345","0.368807073626949","2.3434375605249","0.877"
"ENSG00000106823","ECM2","1.12197415592731","0.439512061223419","2.86414439472887","0.806"
"ENSG00000198721","ECI2","1.52967128851298","0.607157658538263","3.85384951996531","0.358"
